Prediction,Material,Plant,UnitofMeasure,DebitCredit,DayOfWeek,Month,DayOfYear,WeekOfYear,IsWeekend,Quantity,Quantity_pred
61,1,1,1,2,1.560793,-1.297273,-1.210614,-1.227901,2.67642,8.602306,3.844355
62,1,1,1,2,0.95837,-0.159914,-0.285927,-0.309505,-0.373633,9.190011,3.698007
63,11,1,1,1,1.560793,1.261785,1.34862,1.330488,2.67642,9.764283,3.059285
64,23,1,1,1,1.561582,1.553246,1.429982,1.402928,2.677789,7.504061,3.525203
65,7,1,1,2,0.95962,-0.153821,-0.213923,-0.237411,-0.373442,6.706373,3.964603
66,1,1,1,1,0.95962,-0.153821,-0.157881,-0.171798,-0.373442,9.390663,4.504827
67,1,1,1,2,-0.244303,-0.153821,-0.176562,-0.171798,-0.373442,6.993603,3.942199
68,22,1,1,2,-1.448226,-1.291866,-1.381469,-1.352842,-0.373442,9.75486,3.185618
69,14,1,1,2,-0.846265,1.268735,1.317897,1.337315,-0.373442,6.785588,2.677655
70,14,1,1,1,1.561582,-0.153821,-0.269966,-0.303025,2.677789,9.626745,3.215325
71,24,1,1,1,0.95962,0.984224,1.028346,1.009247,-0.373442,7.504061,3.240446
72,1,1,1,2,-0.846265,0.984224,0.860219,0.87802,-0.373442,8.091603,3.65025
73,12,1,1,1,0.357659,-1.291866,-1.222683,-1.221615,-0.373442,7.496098,4.229558
74,22,1,1,2,0.95962,-1.576377,-1.540256,-1.549683,-0.373442,8.756431,3.355417
75,22,1,1,1,-1.448226,-0.153821,-0.055137,-0.040571,-0.373442,6.811465,3.487628
76,18,1,1,2,0.357659,0.415201,0.299797,0.287497,-0.373442,0,2.288278
77,23,1,1,1,0.95962,-0.153821,-0.279306,-0.303025,-0.373442,7.504061,3.933787
78,22,1,1,1,-0.846265,1.553246,1.514045,1.534155,-0.373442,8.196933,3.193369
79,18,1,1,2,-0.846265,0.13069,0.206393,0.221884,-0.373442,6.678091,2.787471
80,11,1,1,2,-0.244303,-0.153821,-0.167222,-0.171798,-0.373442,5.420535,3.194226
81,18,1,1,1,0.357659,-1.576377,-1.474873,-1.484069,-0.373442,7.504061,2.925269
82,1,1,1,2,1.561582,1.553246,1.551406,1.534155,2.677789,7.686291,3.66123
83,7,1,1,1,-0.846265,1.553246,1.458003,1.468542,-0.373442,9.796247,3.511099
84,7,1,1,1,-0.244303,-1.007355,-1.035876,-1.024774,-0.373442,7.552972,3.845914
85,1,1,1,1,-1.448226,-1.576377,-1.568277,-1.549683,-0.373442,9.825952,3.796715
86,1,1,1,1,0.95962,0.699713,0.701433,0.681179,-0.373442,9.825952,4.159243
87,1,1,1,1,1.561582,-1.576377,-1.530915,-1.549683,2.677789,6.993603,3.87934
88,23,1,1,1,-1.448226,-0.722844,-0.849068,-0.827933,-0.373442,7.504061,3.597481
89,1,1,1,2,-0.846265,-1.291866,-1.241364,-1.221615,-0.373442,6.993603,3.941024
90,26,1,1,1,-1.448226,0.984224,0.990984,1.009247,-0.373442,9.680407,4.870178
91,1,1,1,1,0.95962,1.553246,1.551406,1.534155,-0.373442,7.686291,3.464848
92,1,1,1,1,-0.244303,0.699713,0.738794,0.746792,-0.373442,8.379209,4.302416
93,1,1,1,1,-0.244303,-0.153821,-0.101839,-0.106184,-0.373442,7.686291,4.064493
94,7,1,1,2,1.561582,-1.007355,-0.933132,-0.959161,2.677789,9.796247,3.943051
